dist,Angle,Serving_SSB_Idx,weight
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
g4,-60,4,1.0
