dist,Angle,Serving_SSB_Idx,weight
g3,-60,2,1.0
g3,-60,2,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,23,1.0
g3,-60,26,1.0
g3,-60,26,1.0
g3,-60,26,1.0
g3,-60,26,1.0
g3,-60,26,1.0
g3,-60,26,1.0
g3,-60,26,1.0
g3,-60,26,1.0
g3,-60,26,1.0
g3,-60,26,1.0
g3,-60,26,1.0
g3,-60,26,1.0
g3,-60,26,1.0
g3,-60,26,1.0
g3,-60,26,1.0
g3,-60,26,1.0
g3,-60,26,1.0
g3,-60,26,1.0
g3,-60,26,1.0
g3,-60,26,1.0
g3,-60,26,1.0
g3,-60,26,1.0
g3,-60,26,1.0
g3,-60,26,1.0
g3,-60,26,1.0
g3,-60,26,1.0
g3,-60,26,1.0
g3,-60,26,1.0
g3,-60,26,1.0
g3,-60,26,1.0
g3,-60,26,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
g3,-60,36,1.0
