dist,Angle,Serving_SSB_Idx,weight
g4,-60,23,1.0
g4,-60,23,1.0
g4,-60,23,1.0
g4,-60,23,1.0
g4,-60,23,1.0
g4,-60,23,1.0
g4,-60,23,1.0
g4,-60,23,1.0
g4,-60,23,1.0
g4,-60,23,1.0
g4,-60,23,1.0
g4,-60,23,1.0
g4,-60,23,1.0
g4,-60,23,1.0
g4,-60,23,1.0
g4,-60,23,1.0
g4,-60,23,1.0
g4,-60,23,1.0
g4,-60,23,1.0
g4,-60,23,1.0
g4,-60,23,1.0
g4,-60,23,1.0
g4,-60,23,1.0
g4,-60,23,1.0
g4,-60,23,1.0
g4,-60,23,1.0
g4,-60,23,1.0
g4,-60,23,1.0
g4,-60,23,1.0
g4,-60,23,1.0
g4,-60,23,1.0
g4,-60,23,1.0
g4,-60,23,1.0
g4,-60,23,1.0
g4,-60,23,1.0
g4,-60,23,1.0
g4,-60,23,1.0
g4,-60,23,1.0
g4,-60,23,1.0
g4,-60,23,1.0
g4,-60,23,1.0
g4,-60,23,1.0
g4,-60,23,1.0
g4,-60,23,1.0
g4,-60,23,1.0
g4,-60,23,1.0
g4,-60,23,1.0
g4,-60,23,1.0
g4,-60,23,1.0
g4,-60,23,1.0
g4,-60,23,1.0
g4,-60,23,1.0
g4,-60,23,1.0
g4,-60,23,1.0
g4,-60,23,1.0
g4,-60,23,1.0
g4,-60,23,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,26,1.0
g4,-60,29,1.0
g4,-60,29,1.0
g4,-60,29,1.0
g4,-60,29,1.0
g4,-60,29,1.0
g4,-60,29,1.0
g4,-60,29,1.0
g4,-60,29,1.0
g4,-60,29,1.0
g4,-60,29,1.0
g4,-60,29,1.0
g4,-60,29,1.0
g4,-60,29,1.0
g4,-60,29,1.0
g4,-60,29,1.0
g4,-60,29,1.0
g4,-60,29,1.0
g4,-60,29,1.0
g4,-60,29,1.0
g4,-60,29,1.0
g4,-60,29,1.0
g4,-60,29,1.0
g4,-60,29,1.0
g4,-60,29,1.0
g4,-60,29,1.0
g4,-60,29,1.0
g4,-60,29,1.0
g4,-60,29,1.0
g4,-60,29,1.0
g4,-60,29,1.0
g4,-60,29,1.0
g4,-60,29,1.0
g4,-60,29,1.0
g4,-60,29,1.0
g4,-60,29,1.0
g4,-60,29,1.0
g4,-60,29,1.0
g4,-60,29,1.0
g4,-60,29,1.0
g4,-60,29,1.0
g4,-60,29,1.0
g4,-60,29,1.0
g4,-60,29,1.0
g4,-60,29,1.0
g4,-60,29,1.0
g4,-60,29,1.0
g4,-60,29,1.0
g4,-60,29,1.0
g4,-60,29,1.0
g4,-60,29,1.0
g4,-60,29,1.0
g4,-60,29,1.0
g4,-60,29,1.0
g4,-60,29,1.0
g4,-60,29,1.0
g4,-60,29,1.0
g4,-60,29,1.0
g4,-60,29,1.0
g4,-60,29,1.0
g4,-60,29,1.0
g4,-60,29,1.0
g4,-60,29,1.0
g4,-60,29,1.0
g4,-60,29,1.0
g4,-60,29,1.0
g4,-60,29,1.0
g4,-60,29,1.0
g4,-60,29,1.0
g4,-60,29,1.0
g4,-60,29,1.0
g4,-60,29,1.0
g4,-60,29,1.0
g4,-60,29,1.0
g4,-60,29,1.0
g4,-60,32,1.0
g4,-60,32,1.0
g4,-60,32,1.0
g4,-60,32,1.0
g4,-60,32,1.0
g4,-60,32,1.0
g4,-60,32,1.0
g4,-60,32,1.0
g4,-60,32,1.0
g4,-60,32,1.0
g4,-60,36,1.0
g4,-60,36,1.0
g4,-60,36,1.0
g4,-60,36,1.0
g4,-60,36,1.0
g4,-60,36,1.0
g4,-60,36,1.0
g4,-60,36,1.0
g4,-60,36,1.0
g4,-60,36,1.0
g4,-60,36,1.0
g4,-60,36,1.0
g4,-60,36,1.0
g4,-60,36,1.0
g4,-60,36,1.0
g4,-60,36,1.0
g4,-60,36,1.0
g4,-60,36,1.0
g4,-60,36,1.0
g4,-60,36,1.0
g4,-60,36,1.0
g4,-60,36,1.0
g4,-60,36,1.0
g4,-60,36,1.0
g4,-60,36,1.0
g4,-60,36,1.0
g4,-60,36,1.0
g4,-60,36,1.0
g4,-60,36,1.0
g4,-60,36,1.0
